source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,manufacturing_features,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J01,UPPER PLANK,1,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES 2 X 2.5 20 021 GRAIN DIRECTION GRAIN DIRECTION 120 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,2.5,2.0,2 x 2.5,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1155.33,0,0,0,8.5,8.0,,2.0,7.53,7.53,7.53
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J02,UPPER PLANK,2,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,2.5,2.0,2 x 2.5,,5,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,,1315.1,0,0,1,8.5,8.0,,6.6,16.8,8.4,16.8
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J03,UPPER PLANK,3,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 250 021 ° 5 4 2 X 2.5 20 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,2.5,2.0,2 x 2.5,,021,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,,1333.52,0,0,1,8.5,8.0,,8.9,24.54,8.18,24.54
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J04,UPPER PLANK,6,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 06 51 51 2 X 2.5 20 222 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,2.5,2.0,2 x 2.5,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,,1260.89,0,0,0,8.5,8.0,,12.0,45.14,7.3,43.79
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J05,UPPER PLANK,5,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 06 2 X 2.5 20 51 79 250 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,2.5,2.0,2 x 2.5,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,,1299.28,0,0,0,8.5,8.0,,10.0,37.62,7.3,36.49
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J06,MID PLANK,1,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 370 021 5 X 2.5 20 4 5 ° MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,5.0,2.5,5 x 2.5,,5,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,,1436.44,0,0,1,11.0,8.5,,4.3,9.08,9.08,9.08
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J07,MID PLANK,2,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION 370 GRAIN DIRECTION 021 ° 5 4 5 X 2.5 20 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,5.0,2.5,5 x 2.5,,021,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1452.14,0,0,1,11.0,8.5,,6.6,16.8,8.4,16.8
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J08,MID PLANK,4,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 021 5 X 2.5 20 4 5 ° 500 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,5.0,2.5,5 x 2.5,,5,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,,1352.4,0,0,1,11.0,8.5,,11.2,32.25,8.06,32.25
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J09,MID PLANK,5,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION 500 GRAIN DIRECTION 021 ° 5 4 5 X 2.5 20 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,5.0,2.5,5 x 2.5,,021,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,,1366.64,0,0,1,11.0,8.5,,13.5,39.98,7.76,38.78
0351808_HORTI MIDFLOOR LH CORNER SECTION_11234_revB.PDF,11234-01-J10,MID PLANK,8,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,ON TOP AND SIDES GRAIN DIRECTION GRAIN DIRECTION 500 06 87.5 59.5 3 X 2.5 20 MAX LOADING,CLEAR SPLASH PROOF LACQUER GENERAL TOLERANCES,D,04/10/2024,3.0,2.5,3 x 2.5,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1367.68,0,0,0,9.0,8.5,,16.0,60.2,7.3,58.39
